Session ID,Session Title,Date,Time Start,Time End,Room/Location,Schedule Track,Description
11,"[W5] SCAI: Search-Oriented Conversational AI",10/31/18,all day,,Silver Hall / Studio 211-212,Main Schedule,"The Search-Oriented Conversational AI workshop aims to bring together AI/Deep Learning specialists on one hand and search/IR specialists on the other hand to lay the ground for search-oriented conversational AI and establish future directions and collaborations."
12,"[W6] SIGMORPHON: Fifteenth Workshop on Computational Research in Phonetics, Phonology, and Morphology",10/31/18,all day,,Studio 213-215,Main Schedule,"The Fifteenth Workshop on Computational Research in Phonetics, Phonology, and Morphology organized by the ACL Special Interest Group on Computational Morphology and Phonology provides a forum for exchanging news of recent research developments and other matters of interest in computational morphology and phonology."
13,"[W7] WASSA: 9th Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",10/31/18,all day,,Hall 400,Main Schedule,"The aim of the 9th Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis is to continue the line of the previous editions, bringing together researchers in Computational Linguistics working on Subjectivity and Sentiment Analysis and researchers working on interdisciplinary aspects of affect computation from text."
14,"[W8] SMM4H: 3rd Workshop on Social Media Mining for Health Applications Workshop & Shared Task",10/31/18,all day,,Studio 201A/B,Main Schedule,"The 3rd Workshop on Social Media Mining for Health Applications Workshop & Shared Task seeks to attract researchers interested in automatic methods for the collection, extraction, representation, analysis, and validation of social media data for health informatics. It serves as a unique forum to discuss novel approaches to text and data mining methods that are applicable to social media data and may prove invaluable for health monitoring and surveillance."
15,Morning Tutorials,11/1/18,9:00 AM,12:30 PM,,Main Schedule,
16,"[T4] Deep Latent Variable Models of Natural Language",11/1/18,09:00,12:30,Gold Hall,Tutorials,"The proposed tutorial will cover deep latent variable models both in the case where exact inference over the latent variables is tractable and when it is not. The former case includes neural extensions of unsupervised tagging and parsing models. Our discussion of the latter case, where inference cannot be performed tractably, will restrict itself to continuous latent variables. In particular, we will discuss recent developments both in neural variational inference (e.g., relating to Variational Auto-encoders) and in implicit density modeling (e.g., relating to Generative Adversarial Networks). We will highlight the challenges of applying these families of methods to NLP problems, and discuss recent successes and best practices."
17,"[T5] Standardized Tests as benchmarks for Artificial Intelligence",11/1/18,09:00,12:30,Hall 100,Tutorials,"Standardized tests have recently been proposed as replacements to the Turing test as a driver for progress in AI (Clark, 2015). These include tests on understanding passages and stories and answering questions about them (Richardson et al., 2013; Rajpurkar et al., 2016a, inter alia), science question answering (Schoenick et al., 2016, inter alia), algebra word problems (Kushman et al., 2014, inter alia), geometry problems (Seo et al., 2015; Sachan et al., 2016), visual question answering (Antol et al., 2015), etc. Many of these tests require sophisticated understanding of the world, aiming to push the boundaries of AI.

For this tutorial, we broadly categorize these tests into two categories: open domain tests such as reading comprehensions and elementary school tests where the goal is to find the support for an answer from the student curriculum, and closed domain tests such as intermediate level math and science tests (algebra, geometry, Newtonian physics problems, etc.). Unlike open domain tests, closed domain tests require the system to have significant domain knowledge and reasoning capabilities. For example, geometry questions typically involve a number of geometry primitives (lines, quadrilaterals, circles, etc) and require students to use axioms and theorems of geometry (Pythagoras theorem, alternating angles, etc) to solve them. These closed domains often have a formal logical basis and the question can be mapped to a formal language by semantic parsing. The formal question representation can then provided as an input to an expert system to solve the question."
18,Lunch,11/1/18,12:30 PM,2:00 PM,,Main Schedule,
19,Afternoon Tutorials,11/1/18,2:00 PM,5:30 PM,,Main Schedule,
20,"[T6] Deep Chit-Chat: Deep Learning for ChatBots",11/1/18,14:00,17:30,Gold Hall,Tutorials,"The tutorial is based on the long-term efforts on building conversational models with deep learning approaches for chatbots. We will summarize the fundamental challenges in modeling open domain dialogues, clarify the difference from modeling goal-oriented dialogues, and give an overview of state-of-the-art methods for open domain conversation including both retrieval-based methods and generation-based methods. In addition to these, our tutorial will also cover some new trends of research of chatbots, such as how to design a reasonable evaluation system and how to "control" conversations from a chatbot with some specific information such as personas, styles, and emotions, etc."
21,"[W1] WMT18: The Third Conference on Machine Translation (Day 2)",11/1/18,all day,,Bozar Hall (Salle M),Main Schedule,"The Third Conference on Machine Translation conference builds on a series of annual workshops and conferences on statistical machine translation, going back to 2006."
22,"[W2] CoNLL: The Conference on Computational Natural Language Learning (Day 2)",11/1/18,all day,,Copper Hall / Studio 311-312,Main Schedule,"The Conference on Computational Natural Language Learning is a top-tier conference, yearly organized by SIGNLL (ACL’s Special Interest Group on Natural Language Learning)."
23,"[W9] BioASQ: Large-scale Biomedical Semantic Indexing and Question Answering",11/1/18,all day,,Studio 313-315,Main Schedule,"The aim of Large-scale Biomedical Semantic Indexing and Question Answering workshop is to push the research frontier towards systems that use the diverse and voluminous information available online to respond directly to the information needs of biomedical scientists."
24,"[W10] BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP",11/1/18,all day,,Silver Hall / Hall 100,Main Schedule,"The goal of the Analyzing and Interpreting Neural Networks for NLP workshop is to bring together people who are attempting to peek inside the neural network black box, taking inspiration from machine learning, psychology, linguistics and neuroscience."
25,"[W11] FEVER: First Workshop on Fact Extraction and VERification",11/1/18,all day,,The Arc,Main Schedule,"The First Workshop on Fact Extraction and VERification brings together researchers working on various tasks related to fact extraction and verification and also hosts the FEVER Challenge, an information verification shared task."
26,"[W12] ARGMINING: 5th International Workshop on Argument Mining",11/1/18,all day,,Studio 213-215,Main Schedule,"The goal of the 5th International Workshop on Argument Mining is to provide a continuing forum to the last four years’ Argumentation Mining workshops at ACL and NAACL, the first research forum devoted to argumentation mining in all domains of discourse."
27,"[W13] W-NUT: 4th Workshop on Noisy User-generated Text",11/1/18,all day,,Panoramic Hall,Main Schedule,"The 4th Workshop on Noisy User-generated Text focuses on Natural Language Processing applied to noisy user-generated text, such as that found in social media, online reviews, crowdsourced data, web forums, clinical records and language learner essays."
28,"[W14] UDW-18: Second Workshop on Universal Dependencies",11/1/18,all day,,Studio 201A/B,Main Schedule,"The Second Workshop on Universal Dependencies invites papers on all topics relevant to universal dependencies. Priority will be given to papers that adopt a cross-lingual perspective."
